"","participant","language","item","repetition","vot"
"118","monoSp06","spanish","te",1,20.54
"119","monoSp06","spanish","te",2,24.88
"120","monoSp06","spanish","te",3,21.12
"121","monoSp06","spanish","ti",1,25.61
"122","monoSp06","spanish","ti",2,7.48
"123","monoSp06","spanish","ti",3,9.56
"124","monoSp06","spanish","tu",1,6.65
"125","monoSp06","spanish","tu",2,25.66
"126","monoSp06","spanish","tu",3,2.39
"127","monoSp07","spanish","da",1,-45.5
"128","monoSp07","spanish","da",2,-52.9
"129","monoSp07","spanish","da",3,-66.39
"130","monoSp07","spanish","de",1,-47.77
"131","monoSp07","spanish","de",2,-54.74
"132","monoSp07","spanish","de",3,-73.23
"133","monoSp07","spanish","di",1,-72.93
"134","monoSp07","spanish","di",2,-65.42
"135","monoSp07","spanish","di",3,-74.68
"136","monoSp07","spanish","te",1,19.44
"137","monoSp07","spanish","te",2,23.75
"138","monoSp07","spanish","te",3,14.76
"139","monoSp07","spanish","ti",1,9.01
"140","monoSp07","spanish","ti",2,9.18
"141","monoSp07","spanish","ti",3,10.19
"142","monoSp07","spanish","tu",1,16.62
"143","monoSp07","spanish","tu",2,12.05
"144","monoSp07","spanish","tu",3,5.43
"145","monoSp08","spanish","da",1,-55.83
"146","monoSp08","spanish","da",2,-58.56
"147","monoSp08","spanish","da",3,-67.82
"148","monoSp08","spanish","de",1,-56.42
"149","monoSp08","spanish","de",2,-76.75
"150","monoSp08","spanish","de",3,-64.42
"151","monoSp08","spanish","di",1,-67.46
"152","monoSp08","spanish","di",2,-62.77
"153","monoSp08","spanish","di",3,-80.23
"154","monoSp08","spanish","te",1,8.37
"155","monoSp08","spanish","te",2,1.79
"156","monoSp08","spanish","te",3,27.27
"157","monoSp08","spanish","ti",1,2.99
"158","monoSp08","spanish","ti",2,19.03
"159","monoSp08","spanish","ti",3,16.27
"160","monoSp08","spanish","tu",1,8.33
"161","monoSp08","spanish","tu",2,9.77
"162","monoSp08","spanish","tu",3,24.03
"163","monoSp09","spanish","da",1,-56.49
"164","monoSp09","spanish","da",2,-64.6
"165","monoSp09","spanish","da",3,-68.25
"166","monoSp09","spanish","de",1,-71.3
"167","monoSp09","spanish","de",2,-65.75
"168","monoSp09","spanish","de",3,-61.47
"169","monoSp09","spanish","di",1,-58.77
"170","monoSp09","spanish","di",2,-72.35
"171","monoSp09","spanish","di",3,-84.6
"172","monoSp09","spanish","te",1,9.75
"173","monoSp09","spanish","te",2,12.92
"174","monoSp09","spanish","te",3,8.82
"175","monoSp09","spanish","ti",1,2.83
"176","monoSp09","spanish","ti",2,20.89
"177","monoSp09","spanish","ti",3,3.17
"178","monoSp09","spanish","tu",1,8.65
"179","monoSp09","spanish","tu",2,16.24
"180","monoSp09","spanish","tu",3,22.04
"181","monoEn00","english","dig",1,1.88
"182","monoEn00","english","dig",2,28.16
"183","monoEn00","english","dig",3,11.97
"184","monoEn00","english","dog",1,20.5
"185","monoEn00","english","dog",2,15.43
"186","monoEn00","english","dog",3,18.42
"187","monoEn00","english","dug",1,7.16
"188","monoEn00","english","dug",2,24.97
"189","monoEn00","english","dug",3,24.02
"190","monoEn00","english","tag",1,52.89
"191","monoEn00","english","tag",2,58.52
"192","monoEn00","english","tag",3,62.4
"193","monoEn00","english","tog",1,61.22
"194","monoEn00","english","tog",2,57.56
"195","monoEn00","english","tog",3,56.42
"196","monoEn00","english","tug",1,32.61
"197","monoEn00","english","tug",2,46.28
"198","monoEn00","english","tug",3,53.96
"199","monoEn01","english","dig",1,5.67
"200","monoEn01","english","dig",2,24.98
"201","monoEn01","english","dig",3,19.72
"202","monoEn01","english","dog",1,11.2
"203","monoEn01","english","dog",2,18.92
"204","monoEn01","english","dog",3,13.81
"205","monoEn01","english","dug",1,14.51
"206","monoEn01","english","dug",2,18.53
"207","monoEn01","english","dug",3,2.67
"208","monoEn01","english","tag",1,66.8
"209","monoEn01","english","tag",2,40.45
"210","monoEn01","english","tag",3,40.78
"211","monoEn01","english","tog",1,61.55
"212","monoEn01","english","tog",2,51.87
"213","monoEn01","english","tog",3,72.2
"214","monoEn01","english","tug",1,61.89
"215","monoEn01","english","tug",2,61.18
"216","monoEn01","english","tug",3,41.5
"217","monoEn02","english","dig",1,17.3
"218","monoEn02","english","dig",2,23.34
"219","monoEn02","english","dig",3,6.53
"220","monoEn02","english","dog",1,9.66
"221","monoEn02","english","dog",2,0.88
"222","monoEn02","english","dog",3,22.36
"223","monoEn02","english","dug",1,14.29
"224","monoEn02","english","dug",2,10.74
"225","monoEn02","english","dug",3,24.61
"226","monoEn02","english","tag",1,41.9
"227","monoEn02","english","tag",2,37.78
"228","monoEn02","english","tag",3,66.76
"229","monoEn02","english","tog",1,70.37
"230","monoEn02","english","tog",2,53.32
"231","monoEn02","english","tog",3,59.1
"232","monoEn02","english","tug",1,65.51
"233","monoEn02","english","tug",2,60.04
"234","monoEn02","english","tug",3,79.74
"235","monoEn03","english","dig",1,16.1
"236","monoEn03","english","dig",2,16.59
"237","monoEn03","english","dig",3,1.46
"238","monoEn03","english","dog",1,10.8
"239","monoEn03","english","dog",2,15.49
"240","monoEn03","english","dog",3,17.38
"241","monoEn03","english","dug",1,16.79
"242","monoEn03","english","dug",2,10.69
"243","monoEn03","english","dug",3,14.82
"244","monoEn03","english","tag",1,61.96
"245","monoEn03","english","tag",2,59.19
"246","monoEn03","english","tag",3,63.53
"247","monoEn03","english","tog",1,48.76
"248","monoEn03","english","tog",2,33.13
"249","monoEn03","english","tog",3,32.72
"250","monoEn03","english","tug",1,54.21
"251","monoEn03","english","tug",2,62.35
"252","monoEn03","english","tug",3,77.68
"253","monoEn04","english","dig",1,4.66
"254","monoEn04","english","dig",2,8.59
"255","monoEn04","english","dig",3,11.09
"256","monoEn04","english","dog",1,14.47
"257","monoEn04","english","dog",2,21.6
"258","monoEn04","english","dog",3,15.6
"259","monoEn04","english","dug",1,20.94
"260","monoEn04","english","dug",2,15.65
"261","monoEn04","english","dug",3,11.21
"262","monoEn04","english","tag",1,71.46
"263","monoEn04","english","tag",2,70.46
"264","monoEn04","english","tag",3,48.55
"265","monoEn04","english","tog",1,63.74
"266","monoEn04","english","tog",2,60.05
"267","monoEn04","english","tog",3,61.51
"268","monoEn04","english","tug",1,47.51
"269","monoEn04","english","tug",2,48.18
"270","monoEn04","english","tug",3,41.42
"271","monoEn05","english","dig",1,5.71
"272","monoEn05","english","dig",2,8.53
"273","monoEn05","english","dig",3,20.66
"274","monoEn05","english","dog",1,15.52
"275","monoEn05","english","dog",2,12.18
"276","monoEn05","english","dog",3,8.61
"277","monoEn05","english","dug",1,20.89
"278","monoEn05","english","dug",2,6.63
"279","monoEn05","english","dug",3,20.61
"280","monoEn05","english","tag",1,52.79
"281","monoEn05","english","tag",2,48.1
"282","monoEn05","english","tag",3,57.86
"283","monoEn05","english","tog",1,46.02
"284","monoEn05","english","tog",2,49.93
"285","monoEn05","english","tog",3,44.35
"286","monoEn05","english","tug",1,65.12
"287","monoEn05","english","tug",2,46.83
"288","monoEn05","english","tug",3,64.76
"289","monoEn06","english","dig",1,18.05
"290","monoEn06","english","dig",2,17.54
"291","monoEn06","english","dig",3,1.8
"292","monoEn06","english","dog",1,17.01
"293","monoEn06","english","dog",2,18.17
"294","monoEn06","english","dog",3,13.78
"295","monoEn06","english","dug",1,7.37
"296","monoEn06","english","dug",2,17.96
"297","monoEn06","english","dug",3,16.86
"298","monoEn06","english","tag",1,45.25
"299","monoEn06","english","tag",2,69.78
"300","monoEn06","english","tag",3,60.81
"301","monoEn06","english","tog",1,53.28
"302","monoEn06","english","tog",2,65.98
"303","monoEn06","english","tog",3,58.58
"304","monoEn06","english","tug",1,54.82
"305","monoEn06","english","tug",2,46.66
"306","monoEn06","english","tug",3,70.45
"307","monoEn07","english","dig",1,17.87
"308","monoEn07","english","dig",2,14.11
"309","monoEn07","english","dig",3,17.5
"310","monoEn07","english","dog",1,17.5
"311","monoEn07","english","dog",2,12.38
"312","monoEn07","english","dog",3,22.57
"313","monoEn07","english","dug",1,14.73
"314","monoEn07","english","dug",2,12.79
"315","monoEn07","english","dug",3,14.55
"316","monoEn07","english","tag",1,42.57
"317","monoEn07","english","tag",2,49.35
"318","monoEn07","english","tag",3,34.15
"319","monoEn07","english","tog",1,63.59
"320","monoEn07","english","tog",2,77.34
"321","monoEn07","english","tog",3,61.98
"322","monoEn07","english","tug",1,51.05
"323","monoEn07","english","tug",2,63.83
"324","monoEn07","english","tug",3,49.08
"325","monoEn08","english","dig",1,25.49
"326","monoEn08","english","dig",2,15.13
"327","monoEn08","english","dig",3,3.47
"328","monoEn08","english","dog",1,16.44
"329","monoEn08","english","dog",2,4.94
"330","monoEn08","english","dog",3,19.17
"331","monoEn08","english","dug",1,23.85
"332","monoEn08","english","dug",2,7.63
"333","monoEn08","english","dug",3,16.62
"334","monoEn08","english","tag",1,68.45
"335","monoEn08","english","tag",2,43.21
"336","monoEn08","english","tag",3,50.29
"337","monoEn08","english","tog",1,55.49
"338","monoEn08","english","tog",2,42.52
"339","monoEn08","english","tog",3,51.07
"340","monoEn08","english","tug",1,66.41
"341","monoEn08","english","tug",2,48.71
"342","monoEn08","english","tug",3,57.11
"343","monoEn09","english","dig",1,21.53
"344","monoEn09","english","dig",2,13.86
"345","monoEn09","english","dig",3,19.05
"346","monoEn09","english","dog",1,17.38
"347","monoEn09","english","dog",2,15.76
"348","monoEn09","english","dog",3,13.45
"349","monoEn09","english","dug",1,19.72
"350","monoEn09","english","dug",2,16.88
"351","monoEn09","english","dug",3,17.6
"352","monoEn09","english","tag",1,47.9
"353","monoEn09","english","tag",2,57.56
"354","monoEn09","english","tag",3,55.65
"355","monoEn09","english","tog",1,55.94
"356","monoEn09","english","tog",2,64.7
"357","monoEn09","english","tog",3,56.47
"358","monoEn09","english","tug",1,44.61
"359","monoEn09","english","tug",2,27.78
"360","monoEn09","english","tug",3,45.2
"361","biling00","english","dig",1,11.57
"362","biling00","english","dig",2,4.13
"363","biling00","english","dig",3,0.76
"364","biling00","english","dog",1,13.91
"365","biling00","english","dog",2,9.21
"366","biling00","english","dog",3,18.86
"367","biling00","english","dug",1,13.66
"368","biling00","english","dug",2,36.57
"369","biling00","english","dug",3,13.44
"370","biling00","english","tag",1,64.8
"371","biling00","english","tag",2,52.57
"372","biling00","english","tag",3,50.43
"373","biling00","english","tog",1,25.47
"374","biling00","english","tog",2,19.54
"375","biling00","english","tog",3,34.06
"376","biling00","english","tug",1,50.61
"377","biling00","english","tug",2,17.42
"378","biling00","english","tug",3,44.61
"379","biling00","spanish","da",1,-57.7
"380","biling00","spanish","da",2,-43.1
"381","biling00","spanish","da",3,-65.4
"382","biling00","spanish","de",1,-63.44
"383","biling00","spanish","de",2,-64.74
"384","biling00","spanish","de",3,-40.22
"385","biling00","spanish","di",1,-60.12
"386","biling00","spanish","di",2,-65.44
"387","biling00","spanish","di",3,-64.34
"388","biling00","spanish","te",1,7.39
"389","biling00","spanish","te",2,20.92
"390","biling00","spanish","te",3,37.65
"391","biling00","spanish","ti",1,7.5
"392","biling00","spanish","ti",2,-0.39
"393","biling00","spanish","ti",3,7.76
"394","biling00","spanish","tu",1,12.26
"395","biling00","spanish","tu",2,0.65
"396","biling00","spanish","tu",3,5.69
"397","biling01","english","dig",1,13.14
"398","biling01","english","dig",2,16.66
"399","biling01","english","dig",3,18.48
"400","biling01","english","dog",1,18.08
"401","biling01","english","dog",2,23.81
"402","biling01","english","dog",3,17.79
"403","biling01","english","dug",1,6.69
"404","biling01","english","dug",2,17.82
"405","biling01","english","dug",3,20.27
"406","biling01","english","tag",1,50.92
"407","biling01","english","tag",2,36.42
"408","biling01","english","tag",3,29.87
"409","biling01","english","tog",1,51.89
"410","biling01","english","tog",2,36.5
"411","biling01","english","tog",3,80.57
"412","biling01","english","tug",1,53.03
"413","biling01","english","tug",2,32.38
"414","biling01","english","tug",3,37.95
"415","biling01","spanish","da",1,-61.93
"416","biling01","spanish","da",2,-57.66
"417","biling01","spanish","da",3,-45.93
"418","biling01","spanish","de",1,-63.35
"419","biling01","spanish","de",2,-62.54
"420","biling01","spanish","de",3,-76.35
"421","biling01","spanish","di",1,-53.79
"422","biling01","spanish","di",2,-58.37
"423","biling01","spanish","di",3,-64.47
"424","biling01","spanish","te",1,3.07
"425","biling01","spanish","te",2,25.4
"426","biling01","spanish","te",3,1.39
"427","biling01","spanish","ti",1,5.05
"428","biling01","spanish","ti",2,20.85
"429","biling01","spanish","ti",3,-14.07
"430","biling01","spanish","tu",1,14.47
"431","biling01","spanish","tu",2,10.64
"432","biling01","spanish","tu",3,8.06
"433","biling02","english","dig",1,22.07
"434","biling02","english","dig",2,3.06
"435","biling02","english","dig",3,9.87
"436","biling02","english","dog",1,17.45
"437","biling02","english","dog",2,16.6
"438","biling02","english","dog",3,12.78
"439","biling02","english","dug",1,20.05
"440","biling02","english","dug",2,10.79
"441","biling02","english","dug",3,9.3
"442","biling02","english","tag",1,37.57
"443","biling02","english","tag",2,47.97
"444","biling02","english","tag",3,40.21
"445","biling02","english","tog",1,41.59
"446","biling02","english","tog",2,67.64
"447","biling02","english","tog",3,36.5
"448","biling02","english","tug",1,70.33
"449","biling02","english","tug",2,62.35
"450","biling02","english","tug",3,43.47
"451","biling02","spanish","da",1,-50.3
"452","biling02","spanish","da",2,-61.66
"453","biling02","spanish","da",3,-63.85
"454","biling02","spanish","de",1,-65.45
"455","biling02","spanish","de",2,-65.86
"456","biling02","spanish","de",3,-53.04
"457","biling02","spanish","di",1,-67.06
"458","biling02","spanish","di",2,-64.44
"459","biling02","spanish","di",3,-48.72
"460","biling02","spanish","te",1,4.21
"461","biling02","spanish","te",2,13.06
"462","biling02","spanish","te",3,-5.4
"463","biling02","spanish","ti",1,14.58
"464","biling02","spanish","ti",2,29.85
"465","biling02","spanish","ti",3,7.31
"466","biling02","spanish","tu",1,16.7
"467","biling02","spanish","tu",2,-1.31
"468","biling02","spanish","tu",3,-1.31
"469","biling03","english","dig",1,19.49
"470","biling03","english","dig",2,8.92
"471","biling03","english","dig",3,10.67
"472","biling03","english","dog",1,20.63
"473","biling03","english","dog",2,18.48
"474","biling03","english","dog",3,20.57
"475","biling03","english","dug",1,11.94
"476","biling03","english","dug",2,20.86
"477","biling03","english","dug",3,22.97
"478","biling03","english","tag",1,41.62
"479","biling03","english","tag",2,26.18
"480","biling03","english","tag",3,41.94
"481","biling03","english","tog",1,46.16
"482","biling03","english","tog",2,53.16
"483","biling03","english","tog",3,31.55
"484","biling03","english","tug",1,48.34
"485","biling03","english","tug",2,43.6
"486","biling03","english","tug",3,54.23
"487","biling03","spanish","da",1,-56.88
"488","biling03","spanish","da",2,-56.04
"489","biling03","spanish","da",3,-48.02
"490","biling03","spanish","de",1,-59.36
"491","biling03","spanish","de",2,-58.12
"492","biling03","spanish","de",3,-63.62
"493","biling03","spanish","di",1,-43.79
"494","biling03","spanish","di",2,-46.21
"495","biling03","spanish","di",3,-73.64
"496","biling03","spanish","te",1,4.23
"497","biling03","spanish","te",2,15.62
"498","biling03","spanish","te",3,-2.42
"499","biling03","spanish","ti",1,-7.82
"500","biling03","spanish","ti",2,-4.87
"501","biling03","spanish","ti",3,-1.8
"502","biling03","spanish","tu",1,21.81
"503","biling03","spanish","tu",2,7.25
"504","biling03","spanish","tu",3,7.25
"505","biling04","english","dig",1,28.7
"506","biling04","english","dig",2,28.76
"507","biling04","english","dig",3,31.43
"508","biling04","english","dog",1,19.81
"509","biling04","english","dog",2,7.48
"510","biling04","english","dog",3,10.99
"511","biling04","english","dug",1,28.96
"512","biling04","english","dug",2,13.25
"513","biling04","english","dug",3,12.57
"514","biling04","english","tag",1,52.64
"515","biling04","english","tag",2,54.28
"516","biling04","english","tag",3,38.49
"517","biling04","english","tog",1,52.55
"518","biling04","english","tog",2,58.28
"519","biling04","english","tog",3,24.23
"520","biling04","english","tug",1,39.12
"521","biling04","english","tug",2,43.83
"522","biling04","english","tug",3,36.54
"523","biling04","spanish","da",1,-68.61
"524","biling04","spanish","da",2,-50.49
"525","biling04","spanish","da",3,-59.66
"526","biling04","spanish","de",1,-56.59
"527","biling04","spanish","de",2,-68.55
"528","biling04","spanish","de",3,-48.82
"529","biling04","spanish","di",1,-45.46
"530","biling04","spanish","di",2,-69.21
"531","biling04","spanish","di",3,-80.87
"532","biling04","spanish","te",1,-2.22
"533","biling04","spanish","te",2,22.24
"534","biling04","spanish","te",3,0.15
"535","biling04","spanish","ti",1,3.08
"536","biling04","spanish","ti",2,9.12
"537","biling04","spanish","ti",3,20.17
"538","biling04","spanish","tu",1,11.73
"539","biling04","spanish","tu",2,3.18
"540","biling04","spanish","tu",3,18.84
"541","biling05","english","dig",1,22.02
"542","biling05","english","dig",2,10.58
"543","biling05","english","dig",3,9.83
"544","biling05","english","dog",1,20.95
"545","biling05","english","dog",2,16.13
"546","biling05","english","dog",3,13.64
"547","biling05","english","dug",1,14.97
"548","biling05","english","dug",2,21.25
"549","biling05","english","dug",3,13.23
"550","biling05","english","tag",1,45.41
"551","biling05","english","tag",2,67.03
"552","biling05","english","tag",3,39.47
"553","biling05","english","tog",1,47.47
"554","biling05","english","tog",2,67.5
"555","biling05","english","tog",3,65.18
"556","biling05","english","tug",1,40.01
"557","biling05","english","tug",2,30.54
"558","biling05","english","tug",3,34.81
"559","biling05","spanish","da",1,-67.18
"560","biling05","spanish","da",2,-62.76
"561","biling05","spanish","da",3,-54
"562","biling05","spanish","de",1,-45.58
"563","biling05","spanish","de",2,-65.89
"564","biling05","spanish","de",3,-54.46
"565","biling05","spanish","di",1,-56.39
"566","biling05","spanish","di",2,-53.35
"567","biling05","spanish","di",3,-43.37
"568","biling05","spanish","te",1,1.39
"569","biling05","spanish","te",2,18.7
"570","biling05","spanish","te",3,3.61
"571","biling05","spanish","ti",1,11.1
"572","biling05","spanish","ti",2,-0.72
"573","biling05","spanish","ti",3,13.11
"574","biling05","spanish","tu",1,12.71
"575","biling05","spanish","tu",2,11.87
"576","biling05","spanish","tu",3,0.22
"577","biling06","english","dig",1,15.86
"578","biling06","english","dig",2,14.57
"579","biling06","english","dig",3,0.23
"580","biling06","english","dog",1,12.23
"581","biling06","english","dog",2,14.7
"582","biling06","english","dog",3,27.46
"583","biling06","english","dug",1,15.81
"584","biling06","english","dug",2,14.49
"585","biling06","english","dug",3,19.38
"586","biling06","english","tag",1,56.12
"587","biling06","english","tag",2,40.3
"588","biling06","english","tag",3,46.36
"589","biling06","english","tog",1,66.51
"590","biling06","english","tog",2,40.97
"591","biling06","english","tog",3,29.08
"592","biling06","english","tug",1,47.72
"593","biling06","english","tug",2,45.68
"594","biling06","english","tug",3,33.95
"595","biling06","spanish","da",1,-70.53
"596","biling06","spanish","da",2,-49.23
"597","biling06","spanish","da",3,-55.51
"598","biling06","spanish","de",1,-64.68
"599","biling06","spanish","de",2,-74.47
"600","biling06","spanish","de",3,-73.65
"601","biling06","spanish","di",1,-58.47
"602","biling06","spanish","di",2,-53.25
"603","biling06","spanish","di",3,-52.86
"604","biling06","spanish","te",1,9.09
"605","biling06","spanish","te",2,4.42
"606","biling06","spanish","te",3,12.55
"607","biling06","spanish","ti",1,17.04
"608","biling06","spanish","ti",2,2.25
"609","biling06","spanish","ti",3,15.58
"610","biling06","spanish","tu",1,10.52
"611","biling06","spanish","tu",2,8.52
"612","biling06","spanish","tu",3,19.08
"613","biling07","english","dig",1,4.3
"614","biling07","english","dig",2,24.49
"615","biling07","english","dig",3,9.96
"616","biling07","english","dog",1,0.37
"617","biling07","english","dog",2,22.14
"618","biling07","english","dog",3,12.32
"619","biling07","english","dug",1,24.01
"620","biling07","english","dug",2,8.75
"621","biling07","english","dug",3,18.36
"622","biling07","english","tag",1,33.84
"623","biling07","english","tag",2,37.9
"624","biling07","english","tag",3,46.93
"625","biling07","english","tog",1,50.77
"626","biling07","english","tog",2,41.63
"627","biling07","english","tog",3,49.29
"628","biling07","english","tug",1,54.91
"629","biling07","english","tug",2,68.9
"630","biling07","english","tug",3,31.53
"631","biling07","spanish","da",1,-58.7
"632","biling07","spanish","da",2,-56.38
"633","biling07","spanish","da",3,-66.33
"634","biling07","spanish","de",1,-56.54
"635","biling07","spanish","de",2,-61.46
"636","biling07","spanish","de",3,-52.55
"637","biling07","spanish","di",1,-52.45
"638","biling07","spanish","di",2,-61.49
"639","biling07","spanish","di",3,-59.64
"640","biling07","spanish","te",1,10.36
"641","biling07","spanish","te",2,-0.65
"642","biling07","spanish","te",3,31.47
"643","biling07","spanish","ti",1,22.8
"644","biling07","spanish","ti",2,-8.29
"645","biling07","spanish","ti",3,14.01
"646","biling07","spanish","tu",1,-5.18
"647","biling07","spanish","tu",2,22.05
"648","biling07","spanish","tu",3,8.04
"649","biling08","english","dig",1,12.9
"650","biling08","english","dig",2,7.33
"651","biling08","english","dig",3,23.73
"652","biling08","english","dog",1,13.09
"653","biling08","english","dog",2,14.35
"654","biling08","english","dog",3,18.31
"655","biling08","english","dug",1,-0.65
"656","biling08","english","dug",2,14.51
"657","biling08","english","dug",3,4.29
"658","biling08","english","tag",1,46.64
"659","biling08","english","tag",2,50.37
"660","biling08","english","tag",3,41.57
"661","biling08","english","tog",1,26.73
"662","biling08","english","tog",2,47.5
"663","biling08","english","tog",3,64.73
"664","biling08","english","tug",1,50.81
"665","biling08","english","tug",2,35.15
"666","biling08","english","tug",3,45.31
"667","biling08","spanish","da",1,-72.94
"668","biling08","spanish","da",2,-57.19
"669","biling08","spanish","da",3,-40.82
"670","biling08","spanish","de",1,-81.05
"671","biling08","spanish","de",2,-40.92
"672","biling08","spanish","de",3,-54.96
"673","biling08","spanish","di",1,-57.3
"674","biling08","spanish","di",2,-54.52
"675","biling08","spanish","di",3,-64.89
"676","biling08","spanish","te",1,7.11
"677","biling08","spanish","te",2,10.94
"678","biling08","spanish","te",3,19.17
"679","biling08","spanish","ti",1,4.63
"680","biling08","spanish","ti",2,6.68
"681","biling08","spanish","ti",3,-3.85
"682","biling08","spanish","tu",1,22.93
"683","biling08","spanish","tu",2,12.77
"684","biling08","spanish","tu",3,4.51
"685","biling09","english","dig",1,17.12
"686","biling09","english","dig",2,-2.95
"687","biling09","english","dig",3,18.43
"688","biling09","english","dog",1,20.59
"689","biling09","english","dog",2,4.27
"690","biling09","english","dog",3,16.69
"691","biling09","english","dug",1,6.97
"692","biling09","english","dug",2,21.87
"693","biling09","english","dug",3,8.74
"694","biling09","english","tag",1,49.46
"695","biling09","english","tag",2,65.03
"696","biling09","english","tag",3,79.15
"697","biling09","english","tog",1,47.91
"698","biling09","english","tog",2,60.77
"699","biling09","english","tog",3,38.05
"700","biling09","english","tug",1,44.77
