,Continent,Country,Measurement,Value
74,Africa,Zimbabwe,Langs,18.00
75,Africa,Algeria,Area,2381741.00
76,Africa,Angola,Area,1246700.00
77,Oceania,Australia,Area,7713364.00
78,Asia,Bangladesh,Area,143998.00
79,Africa,Benin,Area,112622.00
80,Americas,Bolivia,Area,1098581.00
81,Africa,Botswana,Area,581730.00
82,Americas,Brazil,Area,8511965.00
83,Africa,Burkina Faso,Area,274000.00
84,Africa,CAR,Area,622984.00
85,Asia,Cambodia,Area,181035.00
86,Africa,Cameroon,Area,475422.00
87,Africa,Chad,Area,1284000.00
88,Americas,Colombia,Area,1138914.00
89,Africa,Congo,Area,342000.00
90,Americas,Costa Rica,Area,51100.00
91,Africa,Cote d'Ivoire,Area,322463.00
92,Americas,Cuba,Area,110861.00
93,Americas,Ecuador,Area,283561.00
94,Africa,Egypt,Area,1001449.00
95,Africa,Ethiopia,Area,1221900.00
96,Americas,French Guiana,Area,90000.00
97,Africa,Gabon,Area,267667.00
98,Africa,Ghana,Area,238553.00
99,Americas,Guatemala,Area,108889.00
100,Africa,Guinea,Area,245857.00
101,Americas,Guyana,Area,214969.00
102,Americas,Honduras,Area,112088.00
103,Asia,India,Area,3287590.00
104,Asia,Indonesia,Area,1904569.00
105,Africa,Kenya,Area,580367.00
106,Asia,Laos,Area,236800.00
107,Africa,Liberia,Area,111369.00
108,Africa,Libya,Area,1759540.00
109,Africa,Madagascar,Area,587041.00
110,Africa,Malawi,Area,118484.00
111,Asia,Malaysia,Area,329749.00
112,Africa,Mali,Area,1240192.00
113,Africa,Mauritania,Area,1025520.00
114,Americas,Mexico,Area,1958201.00
115,Africa,Mozambique,Area,801590.00
116,Asia,Myanmar,Area,676578.00
117,Africa,Namibia,Area,824292.00
118,Asia,Nepal,Area,140797.00
119,Americas,Nicaragua,Area,130000.00
120,Africa,Niger,Area,1267000.00
121,Africa,Nigeria,Area,923768.00
122,Asia,Oman,Area,212457.00
123,Americas,Panama,Area,75517.00
124,Oceania,Papua New Guinea,Area,462840.00
125,Americas,Paraguay,Area,406752.00
126,Americas,Peru,Area,1285216.00
127,Asia,Phillipines,Area,300000.00
128,Asia,Saudi Arabia,Area,2149690.00
129,Africa,Senegal,Area,196722.00
130,Africa,Sierra Leone,Area,71740.00
131,Oceania,Solomon Islands,Area,28896.00
132,Africa,Somalia,Area,637657.00
133,Africa,South Africa,Area,1221037.00
134,Asia,Sri Lanka,Area,65610.00
135,Africa,Sudan,Area,2505813.00
136,Americas,Suriname,Area,163265.00
137,Africa,Tanzania,Area,945087.00
138,Asia,Thailand,Area,513115.00
139,Africa,Togo,Area,56785.00
140,Asia,UAE,Area,83600.00
141,Africa,Uganda,Area,235880.00
142,Oceania,Vanuatu,Area,12189.00
143,Americas,Venezuela,Area,912050.00
144,Asia,Vietnam,Area,331689.00
145,Asia,Yemen,Area,527968.00
146,Africa,Zaire,Area,2344858.00
147,Africa,Zambia,Area,752618.00
148,Africa,Zimbabwe,Area,390759.00
149,Africa,Algeria,Population,25660.00
150,Africa,Angola,Population,10303.00
151,Oceania,Australia,Population,17336.00
152,Asia,Bangladesh,Population,118745.00
153,Africa,Benin,Population,4889.00
154,Americas,Bolivia,Population,7612.00
155,Africa,Botswana,Population,1348.00
156,Americas,Brazil,Population,153322.00
157,Africa,Burkina Faso,Population,9242.00
158,Africa,CAR,Population,3127.00
159,Asia,Cambodia,Population,8442.00
160,Africa,Cameroon,Population,12239.00
161,Africa,Chad,Population,5819.00
162,Americas,Colombia,Population,33613.00
163,Africa,Congo,Population,2346.00
164,Americas,Costa Rica,Population,3064.00
165,Africa,Cote d'Ivoire,Population,12464.00
166,Americas,Cuba,Population,10736.00
167,Americas,Ecuador,Population,10851.00
168,Africa,Egypt,Population,54688.00
169,Africa,Ethiopia,Population,53383.00
170,Americas,French Guiana,Population,102.00
171,Africa,Gabon,Population,1212.00
172,Africa,Ghana,Population,15509.00
173,Americas,Guatemala,Population,9467.00
174,Africa,Guinea,Population,5931.00
175,Americas,Guyana,Population,800.00
176,Americas,Honduras,Population,5265.00
177,Asia,India,Population,849638.00
178,Asia,Indonesia,Population,187765.00
179,Africa,Kenya,Population,25905.00
180,Asia,Laos,Population,4262.00
181,Africa,Liberia,Population,2705.00
182,Africa,Libya,Population,4712.00
183,Africa,Madagascar,Population,11493.00
184,Africa,Malawi,Population,8556.00
185,Asia,Malaysia,Population,18333.00
186,Africa,Mali,Population,9507.00
187,Africa,Mauritania,Population,2036.00
188,Americas,Mexico,Population,87836.00
189,Africa,Mozambique,Population,16084.00
190,Asia,Myanmar,Population,42561.00
191,Africa,Namibia,Population,1837.00
192,Asia,Nepal,Population,19605.00
193,Americas,Nicaragua,Population,3999.00
194,Africa,Niger,Population,7984.00
195,Africa,Nigeria,Population,112163.00
196,Asia,Oman,Population,1559.00
197,Americas,Panama,Population,2466.00
198,Oceania,Papua New Guinea,Population,3772.00
199,Americas,Paraguay,Population,4397.00
200,Americas,Peru,Population,21998.00
201,Asia,Phillipines,Population,62868.00
202,Asia,Saudi Arabia,Population,14691.00
203,Africa,Senegal,Population,7533.00
204,Africa,Sierra Leone,Population,4260.00
205,Oceania,Solomon Islands,Population,3301.00
206,Africa,Somalia,Population,7691.00
207,Africa,South Africa,Population,36070.00
208,Asia,Sri Lanka,Population,17240.00
209,Africa,Sudan,Population,25941.00
210,Americas,Suriname,Population,429.00
211,Africa,Tanzania,Population,28359.00
212,Asia,Thailand,Population,56293.00
213,Africa,Togo,Population,3643.00
214,Asia,UAE,Population,1629.00
215,Africa,Uganda,Population,19517.00
216,Oceania,Vanuatu,Population,163.00
217,Americas,Venezuela,Population,20226.00
218,Asia,Vietnam,Population,68183.00
219,Asia,Yemen,Population,12302.00
220,Africa,Zaire,Population,36672.00
221,Africa,Zambia,Population,8780.00
222,Africa,Zimbabwe,Population,10019.00
223,Africa,Algeria,Stations,102.00
224,Africa,Angola,Stations,50.00
225,Oceania,Australia,Stations,134.00
226,Asia,Bangladesh,Stations,20.00
227,Africa,Benin,Stations,7.00
228,Americas,Bolivia,Stations,48.00
229,Africa,Botswana,Stations,10.00
230,Americas,Brazil,Stations,245.00
231,Africa,Burkina Faso,Stations,6.00
232,Africa,CAR,Stations,13.00
233,Asia,Cambodia,Stations,9.00
234,Africa,Cameroon,Stations,35.00
235,Africa,Chad,Stations,11.00
236,Americas,Colombia,Stations,35.00
237,Africa,Congo,Stations,10.00
238,Americas,Costa Rica,Stations,38.00
239,Africa,Cote d'Ivoire,Stations,9.00
240,Americas,Cuba,Stations,13.00
241,Americas,Ecuador,Stations,44.00
242,Africa,Egypt,Stations,50.00
243,Africa,Ethiopia,Stations,36.00
244,Americas,French Guiana,Stations,5.00
245,Africa,Gabon,Stations,14.00
246,Africa,Ghana,Stations,28.00
247,Americas,Guatemala,Stations,59.00
248,Africa,Guinea,Stations,8.00
249,Americas,Guyana,Stations,5.00
250,Americas,Honduras,Stations,13.00
251,Asia,India,Stations,218.00
252,Asia,Indonesia,Stations,58.00
253,Africa,Kenya,Stations,34.00
254,Asia,Laos,Stations,7.00
255,Africa,Liberia,Stations,21.00
256,Africa,Libya,Stations,54.00
257,Africa,Madagascar,Stations,81.00
258,Africa,Malawi,Stations,20.00
259,Asia,Malaysia,Stations,63.00
260,Africa,Mali,Stations,17.00
261,Africa,Mauritania,Stations,8.00
262,Americas,Mexico,Stations,272.00
263,Africa,Mozambique,Stations,90.00
264,Asia,Myanmar,Stations,30.00
265,Africa,Namibia,Stations,6.00
266,Asia,Nepal,Stations,16.00
267,Americas,Nicaragua,Stations,8.00
268,Africa,Niger,Stations,10.00
269,Africa,Nigeria,Stations,24.00
270,Asia,Oman,Stations,2.00
271,Americas,Panama,Stations,5.00
272,Oceania,Papua New Guinea,Stations,8.00
273,Americas,Paraguay,Stations,16.00
274,Americas,Peru,Stations,40.00
275,Asia,Phillipines,Stations,64.00
276,Asia,Saudi Arabia,Stations,10.00
277,Africa,Senegal,Stations,12.00
278,Africa,Sierra Leone,Stations,23.00
279,Oceania,Solomon Islands,Stations,1.00
280,Africa,Somalia,Stations,28.00
281,Africa,South Africa,Stations,114.00
282,Asia,Sri Lanka,Stations,17.00
283,Africa,Sudan,Stations,43.00
284,Americas,Suriname,Stations,2.00
285,Africa,Tanzania,Stations,45.00
286,Asia,Thailand,Stations,54.00
287,Africa,Togo,Stations,11.00
288,Asia,UAE,Stations,6.00
289,Africa,Uganda,Stations,21.00
290,Oceania,Vanuatu,Stations,4.00
291,Americas,Venezuela,Stations,44.00
292,Asia,Vietnam,Stations,40.00
293,Asia,Yemen,Stations,2.00
294,Africa,Zaire,Stations,16.00
295,Africa,Zambia,Stations,30.00
296,Africa,Zimbabwe,Stations,52.00
297,Africa,Algeria,MGS,6.60
298,Africa,Angola,MGS,6.22
299,Oceania,Australia,MGS,6.00
300,Asia,Bangladesh,MGS,7.40
301,Africa,Benin,MGS,7.14
302,Americas,Bolivia,MGS,6.92
303,Africa,Botswana,MGS,4.60
304,Americas,Brazil,MGS,9.71
305,Africa,Burkina Faso,MGS,5.17
306,Africa,CAR,MGS,8.08
307,Asia,Cambodia,MGS,8.44
308,Africa,Cameroon,MGS,9.17
309,Africa,Chad,MGS,4.00
310,Americas,Colombia,MGS,11.37
311,Africa,Congo,MGS,9.60
312,Americas,Costa Rica,MGS,8.92
313,Africa,Cote d'Ivoire,MGS,8.67
314,Americas,Cuba,MGS,7.46
315,Americas,Ecuador,MGS,8.14
316,Africa,Egypt,MGS,0.89
317,Africa,Ethiopia,MGS,7.28
318,Americas,French Guiana,MGS,10.40
319,Africa,Gabon,MGS,8.79
320,Africa,Ghana,MGS,8.79
321,Americas,Guatemala,MGS,9.31
322,Africa,Guinea,MGS,7.38
323,Americas,Guyana,MGS,12.00
324,Americas,Honduras,MGS,8.54
325,Asia,India,MGS,5.32
326,Asia,Indonesia,MGS,10.67
327,Africa,Kenya,MGS,7.26
328,Asia,Laos,MGS,7.14
329,Africa,Liberia,MGS,10.62
330,Africa,Libya,MGS,2.43
331,Africa,Madagascar,MGS,7.33
332,Africa,Malawi,MGS,5.80
333,Asia,Malaysia,MGS,11.92
334,Africa,Mali,MGS,3.59
335,Africa,Mauritania,MGS,0.75
336,Americas,Mexico,MGS,5.84
337,Africa,Mozambique,MGS,6.07
338,Asia,Myanmar,MGS,6.93
339,Africa,Namibia,MGS,2.50
340,Asia,Nepal,MGS,6.39
341,Americas,Nicaragua,MGS,8.13
342,Africa,Niger,MGS,2.40
343,Africa,Nigeria,MGS,7.00
344,Asia,Oman,MGS,0.00
345,Americas,Panama,MGS,9.20
346,Oceania,Papua New Guinea,MGS,10.88
347,Americas,Paraguay,MGS,10.25
348,Americas,Peru,MGS,2.65
349,Asia,Phillipines,MGS,10.34
350,Asia,Saudi Arabia,MGS,0.40
351,Africa,Senegal,MGS,3.58
352,Africa,Sierra Leone,MGS,8.22
353,Oceania,Solomon Islands,MGS,12.00
354,Africa,Somalia,MGS,3.00
355,Africa,South Africa,MGS,6.05
356,Asia,Sri Lanka,MGS,9.59
357,Africa,Sudan,MGS,4.02
358,Americas,Suriname,MGS,12.00
359,Africa,Tanzania,MGS,7.02
360,Asia,Thailand,MGS,8.04
361,Africa,Togo,MGS,7.91
362,Asia,UAE,MGS,0.83
363,Africa,Uganda,MGS,10.14
364,Oceania,Vanuatu,MGS,12.00
365,Americas,Venezuela,MGS,7.98
366,Asia,Vietnam,MGS,8.80
367,Asia,Yemen,MGS,0.00
368,Africa,Zaire,MGS,9.44
369,Africa,Zambia,MGS,5.43
370,Africa,Zimbabwe,MGS,5.29
371,Africa,Algeria,Std,2.29
372,Africa,Angola,Std,1.87
373,Oceania,Australia,Std,4.17
374,Asia,Bangladesh,Std,0.73
375,Africa,Benin,Std,0.99
376,Americas,Bolivia,Std,2.50
377,Africa,Botswana,Std,1.69
378,Americas,Brazil,Std,5.87
379,Africa,Burkina Faso,Std,1.07
380,Africa,CAR,Std,1.21
381,Asia,Cambodia,Std,0.50
382,Africa,Cameroon,Std,1.75
383,Africa,Chad,Std,1.81
384,Americas,Colombia,Std,1.37
385,Africa,Congo,Std,1.69
386,Americas,Costa Rica,Std,1.78
387,Africa,Cote d'Ivoire,Std,1.25
388,Americas,Cuba,Std,1.55
389,Americas,Ecuador,Std,3.47
390,Africa,Egypt,Std,0.89
391,Africa,Ethiopia,Std,3.10
392,Americas,French Guiana,Std,0.80
393,Africa,Gabon,Std,0.77
394,Africa,Ghana,Std,1.68
395,Americas,Guatemala,Std,2.23
396,Africa,Guinea,Std,1.22
397,Americas,Guyana,Std,0.00
398,Americas,Honduras,Std,2.53
399,Asia,India,Std,1.92
400,Asia,Indonesia,Std,1.82
401,Africa,Kenya,Std,3.61
402,Asia,Laos,Std,0.35
403,Africa,Liberia,Std,0.84
404,Africa,Libya,Std,1.60
405,Africa,Madagascar,Std,2.96
406,Africa,Malawi,Std,1.50
407,Asia,Malaysia,Std,0.37
408,Africa,Mali,Std,1.97
409,Africa,Mauritania,Std,0.83
410,Americas,Mexico,Std,2.69
411,Africa,Mozambique,Std,1.39
412,Asia,Myanmar,Std,0.81
413,Africa,Namibia,Std,1.89
414,Asia,Nepal,Std,1.98
415,Americas,Nicaragua,Std,2.15
416,Africa,Niger,Std,1.28
417,Africa,Nigeria,Std,2.16
418,Asia,Oman,Std,0.00
419,Americas,Panama,Std,0.75
420,Oceania,Papua New Guinea,Std,1.96
421,Americas,Paraguay,Std,2.51
422,Americas,Peru,Std,4.22
423,Asia,Phillipines,Std,1.92
424,Asia,Saudi Arabia,Std,0.92
425,Africa,Senegal,Std,1.11
426,Africa,Sierra Leone,Std,0.59
427,Oceania,Solomon Islands,Std,0.00
428,Africa,Somalia,Std,1.69
429,Africa,South Africa,Std,3.50
430,Asia,Sri Lanka,Std,2.59
431,Africa,Sudan,Std,2.82
432,Americas,Suriname,Std,0.00
433,Africa,Tanzania,Std,1.90
434,Asia,Thailand,Std,1.57
435,Africa,Togo,Std,1.78
436,Asia,UAE,Std,0.69
437,Africa,Uganda,Std,1.17
438,Oceania,Vanuatu,Std,0.00
439,Americas,Venezuela,Std,2.73
440,Asia,Vietnam,Std,1.59
441,Asia,Yemen,Std,0.00
442,Africa,Zaire,Std,1.90
443,Africa,Zambia,Std,0.67
444,Africa,Zimbabwe,Std,1.43
